file_id,version,timecode,speaker,text,reading,direction
"VO_S1_manami_01","base","0:01","マナミ","いつものボトル、お願いできる？山崎の…","いつものボトル、おねがいできる？やまざきの…","ゆっくり/くつろぎ・品/語尾を伸ばす"
"VO_S1_kenji_01","base","0:05","ケンジ","あ、はい！少々お待ちください…！","あ、はい！しょうしょうおまちください…！","やや速め/やや高/緊張・上ずり"
"NA_S2_kenji_01","base","0:09","ケンジ(心の声)","え、どれだっけ…先週も探したのに…","え、どれだっけ…せんしゅうもさがしたのに…","内語/つぶやき・声を張らない"
"VO_S2_takashi_01","base","0:16","タカシ","ケンジ、大丈夫か？","ケンジ、だいじょうぶか？","小声/低め/気遣い・近接ささやき"
"VO_S3_kenji_01","base","0:22","ケンジ","…あった！","…あった！","歓喜・ぱっと上昇（暗→明の転換）"
"VO_S4_kenji_01","base","0:25","ケンジ","お待たせしました、山崎です","おまたせしました、やまざきです","自信/落ち着き・丁寧でスマート"
"VO_S4_manami_01","base","0:29","マナミ","早いね、ケンジ君。頼りになる","はやいね、ケンジくん。たよりになる","あたたかい/笑顔含み（オチ）"
"NA_S5_narrator_01","base(任意)","0:32","ナレーション","探す時間を、おもてなしの時間に。","さがすじかんを、おもてなしのじかんに。","ブランド・落ち着いた信頼感"
"VO_altA_kenji_01","altA","0:03","ケンジ","あれ…どこだっけ…","あれ…どこだっけ…","困り・小声・つぶやき"
"VO_altA_takashi_01","altA","0:08","タカシ","ん？　貸してみ","ん？　かしてみ","余裕・低め・ゆっくり"
"VO_altA_takashi_02","altA","0:20","タカシ","ほい、これだろ？","ほい、これだろ？","軽やか・自信・少し得意げ"
"VO_altA_kenji_02","altA","0:25","ケンジ","えっ、なんで一発で…！？","えっ、なんでいっぱつで…！？","驚愕・やや速め・高め"
"VO_altA_takashi_03","altA","0:28","タカシ","Bottle Scanner。使えるモンは、使わなきゃな","ボトルスキャナー。つかえるモンは、つかわなきゃな","自慢げ・あたたかい・ゆっくり"
"VO_altB_guestA_01","altB","0:02","客A","山崎、ロックで！","やまざき、ロックで！","明るく元気・やや速め"
"VO_altB_guestB_01","altB","0:04","客B","こっち白州ハイボール！","こっちはくしゅうハイボール！","弾む・速め"
"VO_altB_kenji_01","altB","0:07","ケンジ","はい、ただいま！","はい、ただいま！","明るく機敏・速め・自信"
"VO_altB_takashi_01","altB","0:28","タカシ","忙しい夜こそ、差が出る","いそがしいよるこそ、さがでる","落ち着き・低め・満足げ"
"VO_altC_guest_01","altC","0:02","常連客","ミサキさん、あのボトルまだある？去年入れたやつ","ミサキさん、あのボトルまだある？きょねんいれたやつ","気さくな無茶振り・普通速"
"VO_altC_misaki_01","altC","0:08","ミサキ","もちろんです","もちろんです","余裕・あたたかい・ゆっくり・低め"
"VO_altC_misaki_02","altC","0:25","ミサキ","お客様の一本、忘れませんよ","おきゃくさまのいっぽん、わすれませんよ","品と自信・微笑み含み"
"VO_altC_staff_01","altC","0:29","若手スタッフ(小声)","…Bottle Scanner、さすがだ","…ボトルスキャナー、さすがだ","感心・小声"
"VO_altD_guestM_01","altD","0:02","男性客","1年前、ここで一本キープしたんだけど…","いちねんまえ、ここでいっぽんキープしたんだけど…","少し照れ・懐かしむ・普通速"
"VO_altD_kenji_01","altD","0:08","ケンジ","はい、承知しております","はい、しょうちしております","丁寧・落ち着き・やわらかい"
"VO_altD_kenji_02","altD","0:24","ケンジ","こちらですね。記念日、おめでとうございます","こちらですね。きねんび、おめでとうございます","あたたかい・心のこもった"
"VO_altD_guestF_01","altD","0:29","女性客","覚えててくれたの…","おぼえててくれたの…","感動・小声・じんわり"
"VO_altE_narrator_01","altE(EN)","0:01","Narrator","Every night, the same question behind the bar: which bottle was theirs?","","calm, intriguing"
"VO_altE_narrator_02","altE(EN)","0:08","Narrator","One shelf. Dozens of bottles. And a guest, waiting.","","building tension"
"VO_altE_narrator_03","altE(EN)","0:18","Narrator","Until now.","","a turn, lift"
"VO_altE_narrator_04","altE(EN)","0:21","Narrator","Bottle Scanner finds the exact one — instantly.","","bright, confident"
"VO_altE_narrator_05","altE(EN)","0:25","Narrator","No more searching. Just hospitality.","","warm, resolved"
"VO_altE_narrator_06","altE(EN)","0:32","Narrator","Bottle Scanner. Link in bio.","","brand, clear"
